# Hs,H10,Hmax,Tmed,THmax,Hm0,Tp,Dp
1.27,1.59,1.98,9.04,13.00,1.41,10.53,148.30
1.25,1.51,1.94,9.04,10.00,1.37,10.53,160.80
1.26,1.57,1.98,9.29,12.00,1.37,6.45,65.03
1.28,1.60,2.08,9.19,10.00,1.39,8.33,112.94
1.31,1.64,2.07,9.11,12.00,1.37,10.53,155.87
1.22,1.46,2.03,9.41,12.00,1.31,10.53,149.73
1.19,1.48,2.04,9.47,12.00,1.30,16.67,160.91
1.26,1.55,2.05,8.87,14.00,1.37,16.67,155.94
1.25,1.51,1.84,8.53,15.00,1.40,15.38,160.44
1.17,1.48,2.11,8.18,18.00,1.32,15.38,164.65
1.19,1.47,1.99,7.12,17.00,1.41,15.38,159.24
1.29,1.56,2.00,8.44,18.00,1.49,15.38,164.66
1.47,1.90,2.30,8.79,21.00,1.69,14.29,165.21
1.41,1.74,2.24,9.11,17.00,1.57,15.38,166.23
1.50,1.86,2.59,9.66,17.00,1.59,15.38,171.06
1.42,1.75,2.14,9.38,16.00,1.57,15.38,168.25
1.50,1.86,2.27,9.35,16.00,1.66,14.29,164.84
1.76,2.15,2.43,10.61,17.00,1.84,12.50,168.53
1.78,2.22,2.60,10.79,11.00,2.02,14.29,163.79
1.60,2.08,2.44,10.38,19.00,1.80,12.50,164.69
1.78,2.27,2.81,11.19,16.00,1.95,15.38,157.29
1.67,2.06,2.36,10.68,15.00,1.91,14.29,160.04
1.53,1.97,2.49,9.26,17.00,1.69,15.38,158.30
1.78,2.28,2.78,10.06,16.00,1.99,14.29,162.00
1.81,2.16,2.72,10.65,18.00,1.97,15.38,155.58
1.92,2.42,3.03,10.86,16.00,2.07,15.38,165.28
1.93,2.37,2.78,10.53,18.00,2.05,14.29,157.01
1.79,2.22,2.48,10.65,17.00,1.97,14.29,161.57
2.07,2.76,3.53,11.09,17.00,2.40,15.38,170.03
1.90,2.45,3.05,10.92,15.00,2.05,14.29,166.76
1.87,2.39,3.55,11.05,18.00,2.16,14.29,177.59
2.21,2.90,3.52,11.28,16.00,2.37,14.29,157.35
1.92,2.39,3.12,10.21,12.00,2.17,16.67,142.21
1.80,2.20,2.92,9.73,18.00,2.05,16.67,168.87
2.00,2.53,3.07,9.38,15.00,2.23,13.33,161.48
2.40,3.01,3.67,10.74,18.00,2.50,15.38,164.26
2.05,2.62,3.05,9.41,19.00,2.25,15.38,171.86
2.17,2.75,3.65,9.47,21.00,2.47,15.38,150.52
2.29,2.90,4.16,9.94,16.00,2.58,15.38,162.14
2.20,2.67,3.18,10.13,14.00,2.42,15.38,166.71
1.98,2.65,3.37,9.41,18.00,2.16,14.29,153.07
2.43,3.16,4.55,10.28,18.00,2.82,15.38,150.93
2.68,3.33,3.91,10.33,17.00,3.03,15.38,151.14
2.31,2.86,3.62,10.10,15.00,2.63,15.38,154.47
2.50,3.18,3.86,10.68,16.00,2.73,15.38,160.37
2.42,2.93,3.73,10.28,17.00,2.64,15.38,153.88
2.01,2.58,3.24,8.78,16.00,2.24,14.29,162.04
2.32,3.04,3.92,9.27,12.00,2.55,15.38,161.48
2.43,2.94,3.75,9.74,18.00,2.67,15.38,162.49
2.06,2.38,2.84,8.82,8.00,2.28,15.38,154.02
2.26,2.84,3.33,9.12,18.00,2.50,14.29,163.62
2.07,2.51,2.97,8.59,11.00,2.39,15.38,159.92
2.24,2.78,3.27,9.05,16.00,2.54,13.33,159.16
2.27,2.68,3.24,8.92,11.00,2.49,15.38,157.29
2.20,2.61,3.13,9.61,17.00,2.37,14.29,152.63
1.91,2.34,2.76,8.77,20.00,2.22,14.29,164.33
2.24,2.75,3.58,9.13,12.00,2.54,14.29,165.76
2.04,2.58,3.37,8.59,18.00,2.31,14.29,147.03
1.94,2.37,3.07,8.72,9.00,2.15,13.33,156.38
2.20,2.58,3.15,8.43,13.00,2.48,14.29,164.66
2.04,2.56,3.65,8.30,9.00,2.32,14.29,169.82
2.10,2.54,3.44,8.75,8.00,2.37,13.33,157.66
2.05,2.60,3.88,8.58,11.00,2.22,14.29,162.85
1.83,2.28,2.75,8.27,16.00,1.98,14.29,148.84
1.67,2.07,2.37,8.48,14.00,1.87,14.29,156.29
1.72,2.20,2.64,8.08,16.00,1.86,14.29,161.23
1.70,2.19,2.80,8.52,9.00,1.87,7.14,51.35
1.66,1.95,2.20,8.73,10.00,1.90,13.33,154.48
1.54,1.77,1.95,8.18,10.00,1.69,14.29,143.58
1.54,1.95,2.96,8.84,11.00,1.70,14.29,156.39
1.61,1.98,2.56,8.72,12.00,1.76,13.33,147.37
1.60,1.97,2.45,8.82,9.00,1.80,6.45,43.13
1.61,2.05,2.66,8.99,12.00,1.80,13.33,153.92
1.44,1.76,2.63,8.32,8.00,1.60,6.67,45.38
1.47,1.80,2.23,8.10,10.00,1.66,12.50,142.92
1.46,1.77,2.19,8.24,16.00,1.61,13.33,141.02
1.40,1.69,2.07,8.61,8.00,1.52,13.33,146.27
1.41,1.74,2.32,8.27,11.00,1.61,12.50,150.75
1.41,1.72,2.02,8.11,10.00,1.49,13.33,155.00
1.33,1.64,2.03,8.08,15.00,1.47,6.90,55.06
1.30,1.62,2.35,8.06,11.00,1.44,6.67,56.47
1.46,1.78,2.49,8.61,9.00,1.61,13.33,158.03
1.38,1.71,2.20,8.39,8.00,1.50,7.14,62.62
1.37,1.67,2.14,8.64,8.00,1.49,13.33,158.25
1.30,1.52,1.81,8.06,12.00,1.40,6.90,63.05
1.35,1.64,1.95,8.33,9.00,1.48,6.45,65.30
1.38,1.75,2.04,8.47,9.00,1.47,6.45,58.68
1.32,1.60,2.01,8.83,10.00,1.43,6.90,59.87
1.26,1.50,1.86,8.23,10.00,1.40,6.67,68.46
1.44,1.73,2.26,9.17,10.00,1.54,6.90,51.07
1.28,1.63,2.04,9.02,9.00,1.37,7.69,54.85
1.35,1.65,2.28,8.72,11.00,1.43,6.90,45.33
1.27,1.58,1.99,8.89,12.00,1.38,6.90,50.34
1.33,1.65,2.06,8.99,10.00,1.50,6.67,48.68
1.31,1.64,2.00,8.74,10.00,1.42,7.41,51.83
1.32,1.61,2.02,9.13,12.00,1.41,6.90,54.49
1.20,1.46,2.13,8.87,14.00,1.30,6.90,46.96
1.25,1.51,1.94,9.02,11.00,1.37,6.67,46.58
1.30,1.63,2.10,9.14,9.00,1.44,13.33,152.56
1.14,1.40,1.91,8.64,12.00,1.26,15.38,131.61
1.30,1.66,2.62,9.04,9.00,1.35,15.38,118.36
1.15,1.39,1.65,8.84,11.00,1.24,15.38,130.22
1.14,1.48,1.90,8.38,12.00,1.28,15.38,133.78
1.16,1.39,1.97,9.09,18.00,1.30,15.38,128.10
1.09,1.41,1.70,8.63,11.00,1.28,15.38,147.06
1.23,1.53,1.95,10.31,18.00,1.36,12.50,146.21
1.13,1.36,1.50,9.37,12.00,1.25,15.38,133.59
1.19,1.50,2.02,9.51,13.00,1.30,14.29,136.98
1.19,1.47,2.21,9.66,17.00,1.32,14.29,148.42
1.10,1.34,1.68,8.88,18.00,1.26,13.33,159.67
1.20,1.58,2.41,8.82,13.00,1.28,15.38,171.87
1.29,1.52,1.78,9.55,17.00,1.53,15.38,176.04
1.42,1.78,2.22,10.12,9.00,1.61,14.29,169.82
1.28,1.61,1.98,9.46,17.00,1.48,15.38,179.11
1.50,1.76,2.13,11.07,17.00,1.68,14.29,191.57
1.36,1.70,2.24,10.77,18.00,1.47,13.33,187.70
1.71,1.99,2.30,13.27,16.00,1.78,14.29,187.13
1.43,1.76,2.19,10.05,18.00,1.62,13.33,180.14
1.68,2.11,2.64,11.91,17.00,1.83,13.33,184.36
1.57,1.90,2.29,11.42,16.00,1.76,12.50,189.76
1.51,1.96,2.73,11.20,16.00,1.71,11.76,208.89
1.63,2.09,2.78,11.15,11.00,1.78,11.76,192.26
1.57,2.02,2.78,11.25,16.00,1.77,14.29,195.64
1.72,2.14,2.63,11.28,15.00,1.90,11.76,206.45
1.69,2.11,2.52,11.20,15.00,1.90,12.50,187.77
1.66,2.27,2.96,11.31,17.00,1.83,14.29,200.13
1.58,1.90,2.40,11.23,18.00,1.74,14.29,193.68
1.64,2.03,2.37,11.28,15.00,1.69,12.50,203.17
1.49,1.93,2.42,10.45,13.00,1.56,13.33,203.56
1.53,1.86,2.29,11.24,15.00,1.59,14.29,190.12
1.45,1.73,2.05,11.31,18.00,1.58,13.33,195.23
1.43,1.76,2.19,10.32,11.00,1.51,13.33,195.10
1.72,2.12,2.62,11.83,13.00,1.81,13.33,202.80
1.51,1.88,2.13,11.41,13.00,1.68,13.33,182.89
1.45,1.79,2.29,11.67,16.00,1.56,13.33,195.70
1.56,1.96,2.46,11.66,15.00,1.55,12.50,197.08
1.55,2.08,2.92,11.31,16.00,1.68,12.50,210.87
1.34,1.75,2.27,11.16,15.00,1.36,12.50,195.27
1.32,1.64,1.95,10.69,15.00,1.35,11.76,195.07
1.28,1.66,2.16,11.21,16.00,1.37,11.76,211.04
1.29,1.64,2.05,11.20,11.00,1.39,12.50,207.51
1.21,1.47,1.94,11.66,13.00,1.33,12.50,203.24
1.19,1.54,2.00,10.47,17.00,1.25,13.33,196.96
1.16,1.44,1.89,11.64,15.00,1.24,11.76,212.30
1.18,1.49,1.76,11.16,11.00,1.30,12.50,202.37
1.15,1.45,2.10,10.53,15.00,1.22,12.50,209.53
1.19,1.49,2.07,10.77,15.00,1.16,12.50,210.33
1.09,1.43,1.95,10.40,13.00,1.19,12.50,213.68
1.21,1.47,2.02,10.75,14.00,1.28,12.50,207.41
1.05,1.32,1.99,9.22,10.00,1.16,11.76,210.05
1.10,1.39,1.92,8.56,12.00,1.24,12.50,209.66
0.99,1.25,1.59,7.88,12.00,1.14,11.11,202.79
1.01,1.32,1.92,8.51,13.00,1.13,12.50,199.16
1.01,1.26,1.64,8.13,13.00,1.14,11.76,196.55
1.00,1.30,1.68,8.38,10.00,1.10,11.11,204.44
1.02,1.33,2.09,8.58,12.00,1.13,11.11,200.49
1.04,1.29,1.55,8.66,14.00,1.16,11.11,195.29
0.98,1.19,1.49,8.20,11.00,1.04,11.76,198.55
1.00,1.24,1.59,8.28,13.00,1.11,10.53,212.98
1.06,1.27,1.58,8.07,13.00,1.18,11.11,192.69
0.97,1.22,1.48,7.60,10.00,1.09,7.41,87.16
1.03,1.32,1.71,7.66,11.00,1.10,10.53,187.93
0.93,1.20,2.00,7.04,10.00,1.08,10.53,194.84
0.91,1.07,1.39,7.26,8.00,1.00,9.52,186.79
0.96,1.20,1.52,7.58,12.00,1.06,10.00,201.09
0.96,1.18,1.67,7.16,9.00,1.06,10.00,197.90
0.98,1.23,1.57,7.26,5.00,1.10,8.00,173.34
1.11,1.39,1.76,7.79,9.00,1.22,10.00,187.87
1.01,1.17,1.63,7.81,9.00,1.15,10.53,182.88
1.09,1.33,1.60,7.71,10.00,1.19,10.53,191.13
1.25,1.52,1.88,8.46,9.00,1.35,7.14,151.26
1.17,1.37,1.72,8.07,12.00,1.29,5.13,68.47
1.33,1.64,2.28,8.16,9.00,1.45,6.45,123.97
1.25,1.49,1.75,7.84,9.00,1.34,6.25,133.30
1.33,1.63,1.96,8.22,10.00,1.42,8.33,176.91
1.30,1.58,1.83,8.29,10.00,1.41,6.25,96.48
1.26,1.53,1.75,8.41,9.00,1.34,6.45,88.75
1.22,1.56,1.83,8.69,10.00,1.27,6.45,91.61
1.09,1.36,1.60,8.72,10.00,1.17,13.33,174.25
1.18,1.52,1.83,8.43,9.00,1.25,13.33,180.36
1.21,1.48,1.73,8.65,12.00,1.29,12.50,178.00
1.12,1.39,1.90,9.12,14.00,1.17,12.50,175.43
1.26,1.54,1.86,9.28,16.00,1.36,12.50,168.43
1.30,1.64,2.10,8.80,13.00,1.40,11.76,179.28
1.13,1.43,1.81,7.95,14.00,1.30,11.11,178.07
1.15,1.43,1.83,7.69,10.00,1.22,11.11,174.77
1.22,1.56,2.42,7.65,13.00,1.34,6.67,133.62
1.31,1.63,1.93,7.39,8.00,1.50,11.76,173.57
1.46,1.82,2.43,6.82,7.00,1.57,4.35,231.01
1.50,1.79,2.59,7.54,8.00,1.61,5.41,208.64
1.46,1.83,2.46,7.18,7.00,1.60,11.11,187.45
1.64,1.96,2.42,7.19,8.00,1.83,5.41,222.54
1.77,2.25,3.48,7.20,8.00,1.90,5.88,219.05
1.88,2.27,2.68,7.71,9.00,2.09,5.88,225.29
2.03,2.50,3.18,7.70,9.00,2.21,6.45,230.60
2.22,2.67,3.19,8.07,10.00,2.36,6.90,220.17
1.85,2.21,2.59,7.66,11.00,1.99,6.90,224.11
2.07,2.53,3.60,7.83,9.00,2.30,6.90,224.43
2.17,2.69,3.14,8.03,10.00,2.33,6.90,222.94
2.04,2.36,3.32,8.19,8.00,2.20,7.41,222.59
2.03,2.61,4.15,8.06,10.00,2.22,7.41,224.06
2.22,2.65,3.18,8.61,11.00,2.42,7.41,218.45
1.92,2.44,3.19,8.40,10.00,2.07,7.69,213.11
1.98,2.48,3.51,8.75,10.00,2.13,8.33,216.66
2.05,2.49,3.30,9.02,11.00,2.22,8.70,211.10
1.95,2.41,3.13,8.78,10.00,2.17,8.70,204.37
1.98,2.42,3.32,8.87,11.00,2.10,8.70,215.02
2.17,2.70,3.42,9.28,11.00,2.27,9.09,206.24
2.06,2.50,3.45,9.74,12.00,2.23,8.70,208.06
1.99,2.42,2.76,9.37,11.00,2.08,8.70,205.99
2.01,2.63,3.41,8.90,11.00,2.13,8.33,213.95
1.93,2.54,3.07,9.02,11.00,2.10,9.09,215.13
2.00,2.63,3.45,9.24,12.00,2.02,9.09,206.41
1.86,2.46,2.84,8.89,11.00,1.92,8.70,210.19
1.84,2.20,2.78,9.18,11.00,1.93,8.70,206.17
1.97,2.54,3.53,9.01,11.00,2.12,8.70,207.48
1.76,2.19,2.99,8.81,11.00,1.88,9.09,206.20
1.69,2.10,2.74,8.69,10.00,1.87,9.09,210.18
1.68,2.02,2.52,8.30,10.00,1.80,9.09,209.35
1.73,2.09,2.72,9.01,11.00,1.89,8.70,210.36
1.93,2.45,3.28,8.75,10.00,2.07,8.33,204.18
1.69,2.11,2.73,8.67,11.00,1.84,9.09,207.42
1.89,2.43,3.14,8.89,12.00,2.04,9.09,204.09
1.98,2.42,2.97,9.54,11.00,2.08,9.52,207.75
1.90,2.34,3.44,8.63,11.00,2.08,8.33,203.26
1.88,2.36,2.72,8.35,10.00,2.03,9.09,210.22
1.76,2.15,2.80,8.52,12.00,1.93,8.33,210.29
1.80,2.18,2.72,8.31,9.00,1.99,8.00,221.61
2.01,2.40,2.83,8.51,10.00,2.29,8.33,214.26
2.22,2.80,3.35,8.16,9.00,2.36,8.33,207.48
2.33,2.92,3.61,8.47,14.00,2.56,8.33,210.53
2.38,2.85,3.43,8.70,10.00,2.57,8.33,206.99
2.33,2.90,3.66,8.76,11.00,2.48,8.70,216.75
2.59,3.31,4.14,8.79,11.00,2.78,8.33,201.47
2.57,3.13,3.66,8.65,10.00,2.80,8.70,208.38
2.54,3.25,3.78,8.59,10.00,2.76,9.09,203.21
2.74,3.34,3.92,9.21,12.00,2.96,9.09,208.91
2.89,3.59,4.48,9.31,10.00,3.23,9.52,205.15
3.54,4.42,5.93,9.92,14.00,3.88,9.52,209.65
3.69,4.50,5.86,10.25,11.00,3.89,10.00,204.91
4.16,5.04,6.29,10.33,15.00,4.49,10.53,214.57
4.32,5.15,5.67,11.58,15.00,4.40,11.76,196.48
4.59,5.91,7.93,10.70,13.00,4.99,9.52,211.27
4.49,5.54,6.70,11.24,13.00,5.06,12.50,197.42
5.12,6.29,7.66,11.82,15.00,5.37,12.50,198.18
4.46,5.77,7.63,11.42,15.00,4.90,12.50,208.20
5.21,6.73,9.90,12.53,15.00,5.54,12.50,202.77
4.98,6.43,7.72,12.62,13.00,5.31,12.50,208.28
4.72,6.05,7.24,12.85,17.00,4.95,13.33,204.82
4.37,5.00,5.69,13.01,14.00,4.51,12.50,210.18
4.81,5.63,6.23,13.43,11.00,5.22,13.33,212.71
4.70,5.68,7.09,12.82,14.00,4.87,13.33,210.80
5.15,6.08,7.12,13.81,16.00,5.57,14.29,205.29
4.99,6.19,8.32,13.85,14.00,5.42,12.50,207.71
5.75,6.89,9.41,14.73,19.00,6.06,14.29,206.05
4.76,6.19,8.37,12.71,16.00,5.17,13.33,210.40
4.96,6.28,7.69,13.09,17.00,5.26,15.38,198.37
5.35,6.24,7.47,15.33,16.00,5.87,14.29,204.27
4.69,5.98,6.92,13.61,18.00,5.02,14.29,206.33
4.58,5.42,6.41,14.07,14.00,4.91,13.33,200.21
4.10,4.75,5.68,13.38,18.00,4.38,14.29,200.49
3.81,4.68,5.87,12.66,17.00,3.96,15.38,205.92
4.52,5.56,6.57,12.99,18.00,4.64,14.29,206.48
3.65,4.76,6.22,12.52,17.00,4.05,14.29,203.37
4.26,5.17,7.50,13.59,17.00,4.58,14.29,200.78
4.50,5.64,8.07,13.66,17.00,4.68,14.29,198.90
3.66,4.80,5.95,12.10,15.00,3.95,14.29,198.67
4.03,5.14,8.09,13.68,15.00,4.29,14.29,200.76
4.02,4.98,6.49,14.36,15.00,4.29,13.33,199.71
3.69,4.80,5.67,13.65,15.00,3.73,11.76,213.66
4.43,5.42,6.32,14.82,17.00,4.53,12.50,202.86
3.29,4.10,4.65,12.52,17.00,3.44,11.76,212.75
3.35,4.20,5.49,13.06,17.00,3.64,13.33,211.04
3.31,4.07,4.81,12.87,17.00,3.58,13.33,208.83
3.23,4.02,5.23,13.07,13.00,3.30,13.33,211.43
3.38,4.31,5.24,12.24,16.00,3.57,13.33,195.38
3.08,3.76,4.31,13.25,16.00,3.21,12.50,205.83
2.91,3.49,3.99,13.00,14.00,3.18,13.33,202.68
2.89,3.54,4.32,12.52,15.00,2.95,12.50,209.87
2.81,3.58,4.50,12.30,14.00,3.10,12.50,197.14
2.99,3.55,4.11,12.57,15.00,3.22,13.33,195.40
2.46,3.12,3.86,10.40,14.00,2.67,12.50,201.53
2.84,3.63,4.58,12.17,15.00,2.91,12.50,195.35
2.52,3.14,4.73,11.28,15.00,2.69,13.33,196.22
2.16,2.71,3.21,10.50,11.00,2.36,13.33,194.85
2.56,3.10,3.71,11.28,18.00,2.65,12.50,205.84
2.35,2.91,3.83,11.60,14.00,2.52,12.50,204.72
2.49,3.09,3.77,10.16,17.00,2.62,12.50,201.41
2.26,2.91,4.59,9.32,13.00,2.34,12.50,209.92
2.29,2.66,3.07,9.47,10.00,2.55,11.76,202.02
2.40,2.85,3.42,8.97,16.00,2.66,11.11,202.30
2.64,3.24,4.01,8.55,16.00,3.03,11.11,199.40
2.53,3.21,4.43,8.38,9.00,2.75,9.52,184.52
2.54,3.05,3.76,8.73,14.00,2.77,11.76,201.33
2.52,3.01,4.33,8.30,10.00,2.76,11.76,193.89
2.54,3.12,4.23,8.49,9.00,2.83,12.50,187.03
2.44,2.97,3.84,8.18,11.00,2.71,11.76,202.82
2.41,2.98,4.38,7.88,12.00,2.75,11.76,196.38
2.37,2.91,3.70,7.84,8.00,2.58,4.88,308.57
2.34,2.90,4.00,7.97,9.00,2.54,11.11,204.23
2.58,3.23,3.95,7.75,10.00,2.83,5.88,310.66
3.18,3.86,5.07,8.41,12.00,3.38,6.67,292.03
2.93,3.45,4.68,8.51,9.00,3.17,7.14,293.03
2.78,3.51,4.71,8.50,10.00,3.01,6.67,297.64
3.07,3.84,4.42,8.20,11.00,3.31,6.67,307.21
3.16,4.02,4.85,8.87,10.00,3.25,7.14,289.46
2.65,3.10,3.64,8.69,7.00,2.73,6.90,282.11
3.18,3.82,4.51,8.55,10.00,3.47,7.14,302.47
3.95,5.05,8.52,9.18,12.00,4.32,7.14,296.74
4.24,5.29,6.75,9.33,11.00,4.45,8.33,289.12
4.42,5.68,7.32,9.92,11.00,4.53,9.09,281.44
4.91,6.12,7.64,10.44,11.00,5.26,8.33,285.47
4.63,5.76,7.70,9.63,12.00,5.05,9.52,269.27
4.84,6.28,8.86,10.64,10.00,5.20,9.52,261.56
