# Hs,H10,Hmax,Tmed,THmax,Hm0,Tp,Dp
1.35,1.74,2.46,8.92,15.00,1.45,11.76,189.05
1.28,1.60,2.00,8.48,8.00,1.45,11.11,183.17
1.44,1.77,2.08,8.85,16.00,1.55,11.76,190.62
1.32,1.73,2.57,8.06,14.00,1.42,11.76,193.56
1.30,1.68,2.24,8.84,15.00,1.43,11.11,171.08
1.13,1.33,1.56,8.43,9.00,1.30,10.00,189.04
1.20,1.53,2.12,9.07,15.00,1.31,12.50,158.98
1.26,1.53,1.95,9.71,15.00,1.37,11.76,177.21
1.24,1.53,1.85,9.29,18.00,1.34,12.50,159.25
1.23,1.48,1.97,9.43,18.00,1.32,11.76,172.98
1.22,1.52,1.79,8.96,17.00,1.38,11.76,168.61
1.15,1.43,1.83,8.77,14.00,1.26,11.76,154.53
1.07,1.27,1.60,9.42,13.00,1.21,11.11,172.36
1.09,1.44,2.11,8.99,15.00,1.23,11.76,162.53
1.13,1.39,2.00,10.08,17.00,1.24,11.76,160.86
1.17,1.45,1.82,9.95,18.00,1.32,11.76,153.10
1.14,1.50,2.06,9.69,18.00,1.19,13.33,157.95
1.03,1.27,1.48,10.53,18.00,1.12,13.33,168.89
1.03,1.34,1.63,10.15,18.00,1.16,14.29,161.48
1.03,1.26,1.46,10.55,19.00,1.13,14.29,154.41
1.05,1.26,1.47,11.02,18.00,1.17,16.67,143.22
1.23,1.59,1.89,12.50,21.00,1.35,16.67,144.03
1.13,1.48,1.95,10.27,18.00,1.20,16.67,141.47
1.12,1.45,2.01,8.92,19.00,1.24,16.67,138.34
0.97,1.27,1.72,10.04,16.00,1.12,13.33,178.24
1.02,1.29,1.54,10.68,15.00,1.07,13.33,164.15
1.26,1.58,1.96,7.33,14.00,1.42,15.38,135.81
1.14,1.47,2.16,7.21,18.00,1.33,15.38,153.31
1.25,1.57,2.11,7.59,7.00,1.41,15.38,141.97
1.31,1.50,1.87,7.07,9.00,1.49,15.38,150.93
1.75,2.08,2.62,7.60,9.00,1.97,5.71,273.74
2.09,2.62,3.17,7.99,8.00,2.32,6.06,260.97
2.00,2.43,3.16,7.78,8.00,2.14,6.67,249.69
2.13,2.65,3.47,7.90,9.00,2.29,6.06,257.31
2.45,3.08,3.96,7.84,9.00,2.68,6.67,245.61
2.25,2.83,3.51,7.89,9.00,2.43,6.90,255.44
2.61,3.27,4.38,8.08,9.00,2.85,7.14,246.85
2.46,3.09,4.40,7.90,8.00,2.72,6.90,265.02
2.67,3.24,3.92,8.39,10.00,2.81,7.41,265.44
2.61,3.19,5.37,8.41,12.00,2.73,7.41,259.51
2.46,3.11,4.32,8.61,11.00,2.67,8.00,255.31
2.39,3.07,4.74,7.91,8.00,2.61,6.90,251.06
2.48,3.08,3.77,8.67,10.00,2.63,7.41,261.40
2.63,3.28,4.80,8.19,9.00,2.92,5.71,246.73
2.63,3.20,4.16,8.83,8.00,2.80,7.41,252.57
2.46,3.02,3.82,8.65,11.00,2.74,7.69,241.00
2.40,2.92,3.59,8.69,11.00,2.53,8.33,257.18
2.23,2.74,3.83,8.39,10.00,2.50,7.69,255.46
2.30,2.83,3.56,8.63,9.00,2.38,6.90,235.91
2.63,3.23,4.25,9.52,11.00,2.82,8.00,224.20
2.26,2.71,3.69,9.26,11.00,2.45,8.33,220.73
2.51,3.13,4.56,9.66,12.00,2.62,8.33,219.83
2.14,2.69,3.30,9.25,9.00,2.23,8.70,213.64
2.31,2.79,3.43,9.57,11.00,2.44,7.69,209.86
1.90,2.33,2.94,9.02,12.00,1.93,8.33,216.09
1.98,2.60,4.13,8.83,11.00,2.15,8.00,212.30
1.90,2.39,2.91,9.19,10.00,2.07,7.69,201.96
1.76,2.27,3.39,9.09,10.00,1.91,8.00,196.21
1.73,2.19,2.96,9.45,9.00,1.84,7.41,220.53
1.89,2.28,2.94,9.57,12.00,1.99,14.29,207.22
1.72,2.06,2.55,9.25,11.00,1.93,13.33,199.86
1.78,2.21,2.46,9.90,12.00,2.07,14.29,209.55
1.97,2.57,3.24,10.73,16.00,2.19,14.29,205.59
1.91,2.36,2.87,10.65,18.00,2.01,13.33,202.77
2.02,2.47,2.97,11.12,12.00,2.23,12.50,206.57
2.46,3.00,3.57,12.44,20.00,2.63,14.29,209.88
2.34,2.85,3.65,12.68,20.00,2.45,14.29,207.68
2.04,2.39,3.01,11.79,19.00,2.16,16.67,201.46
2.23,2.78,3.30,12.38,13.00,2.43,13.33,202.16
2.46,3.15,4.19,14.16,19.00,2.73,15.38,198.27
2.13,2.67,3.27,12.53,19.00,2.21,13.33,196.06
1.97,2.29,2.64,12.53,14.00,2.19,13.33,189.81
2.10,2.58,3.31,12.33,16.00,2.40,12.50,202.25
2.11,2.66,3.45,13.74,18.00,2.11,14.29,193.40
1.73,2.17,2.86,12.51,18.00,1.78,12.50,200.56
2.00,2.39,3.04,13.49,18.00,2.17,14.29,202.70
1.88,2.20,2.48,13.56,18.00,1.94,13.33,200.40
1.92,2.39,3.09,13.47,17.00,1.98,13.33,204.76
2.00,2.41,3.05,13.90,17.00,2.04,14.29,196.34
1.99,2.43,3.34,15.50,17.00,2.16,13.33,199.81
2.15,2.68,3.01,13.93,18.00,2.27,12.50,195.77
2.01,2.47,2.98,13.68,17.00,2.11,11.11,205.22
2.15,2.57,3.14,14.62,17.00,2.24,14.29,207.87
2.23,2.75,3.66,15.16,17.00,2.43,13.33,204.88
1.82,2.34,2.80,13.31,16.00,1.83,14.29,198.86
