# date,eta,etax,etay
200905081900,00000000,00000000,00000000
200905082000,00000000,00000000,00000000
200905082100,00000000,00000000,00000000
200905082200,00000000,00000000,00000000
200905082300,00000000,00000000,00000000
200905090000,00000000,00000000,00000000
200905090100,00000000,00000000,00000000
200905090200,00000000,00000000,00000000
200905090300,00000000,00000000,00000000
200905090400,00000000,00000000,00000000
200905090500,00000000,00000000,00000000
200905090600,00000000,00000000,00000000
200905090700,00000000,00000000,00000000
200905090800,00000000,00000000,00000000
200905090900,00000000,00000000,00000000
200905091000,00000000,00000000,00000000
200905091100,00000000,00000000,00000000
200905091200,00000000,00000000,00000000
200905091300,00000000,00000000,00000000
200905091400,00000000,00000000,00000000
200905091500,00000000,00000000,00000000
200905091600,00000000,00000000,00000000
200905091700,00000000,00000000,00000000
200905091800,00000000,00000000,00000000
200905091900,00000000,00000000,00000000
200905092000,00000000,00000000,00000000
200905092100,00000000,00000000,00000000
200905092200,00000000,00000000,00000000
200905092300,00000000,00000000,00000000
200905100000,00000000,00000000,00000000
200905100100,00000000,00000000,00000000
200905100200,00000000,00000000,00000000
200905100300,00000000,00000000,00000000
200905100400,00000000,00000000,00000000
200905100500,00000000,00000000,00000000
200905100600,00000000,00000000,00000000
200905100700,00000000,00000000,00000000
200905100800,00000000,00000000,00000000
200905100900,00000000,00000000,00000000
200905101000,00000000,00000000,00000000
200905101100,00000000,00000000,00000000
200905101200,00000000,00000000,00000000
200905101300,00000000,00000000,00000000
200905101400,00000000,00000000,00000000
200905101500,00000000,00000000,00000000
200905101600,00000000,00000000,00000000
200905101700,00000000,00000000,00000000
200905101800,00000000,00000000,00000000
200905101900,00000000,00000000,00000000
200905102000,00000000,00000000,00000000
200905102100,00000000,00000000,00000000
200905102200,00000000,00000000,00000000
200905102300,00000000,00000000,00000000
200905110000,00000000,00000000,00000000
200905110100,00000000,00000000,00000000
200905110200,00000000,00000000,00000000
200905110300,00000000,00000000,00000000
200905110400,00000000,00000000,00000000
200905110500,00000000,00000000,00000000
200905110600,00000000,00000000,00000000
200905110700,00000000,00000000,00000000
200905110800,00000000,00000000,00000000
200905110900,00000000,00000000,00000000
200905111000,00000000,00000000,00000000
200905111100,00000000,00000000,00000000
200905111200,00000000,00000000,00000000
200905111300,00000000,00000000,00000000
200905111400,00000000,00000000,00000000
200905111500,00000000,00000000,00000000
200905111600,00000000,00000000,00000000
200905111700,00000000,00000000,00000000
200905111800,00000000,00000000,00000000
200905111900,00000000,00000000,00000000
200905112000,00000000,00000000,00000000
200905112100,00000000,00000000,00000000
200905112200,00000000,00000000,00000000
200905112300,00000000,00000000,00000000
200905120000,00000000,00000000,00000000
200905120100,00000000,00000000,00000000
200905120200,00000000,00000000,00000000
200905120300,00000000,00000000,00000000
200905120400,00000000,00000000,00000000
200905120500,00000000,00000000,00000000
200905120600,00000000,00000000,00000000
200905120700,00000000,00000000,00000000
200905120800,00000000,00000000,00000000
200905120900,00000000,00000000,00000000
200905121000,00000000,00000000,00000000
200905121100,00000000,00000000,00000000
200905121200,00000000,00000000,00000000
200905121300,00000000,00000000,00000000
200905121400,00000000,00000000,00000000
200905121500,00000000,00000000,00000000
200905121600,00000000,00000000,00000000
200905121700,00000000,00000000,00000000
200905121800,00000000,00000000,00000000
200905121900,00000000,00000000,00000000
200905122000,00000000,00000000,00000000
200905122100,00000000,00000000,00000000
200905122200,00000000,00000000,00000000
200905122300,00000000,00000000,00000000
200905130000,00000000,00000000,00000000
200905130100,00000000,00000000,00000000
200905130200,00000000,00000000,00000000
200905130300,00000000,00000000,00000000
200905130400,00000000,00000000,00000000
200905130500,00000000,00000000,00000000
200905130600,00000000,00000000,00000000
200905130700,00000000,00000000,00000000
200905130800,00000000,00000000,00000000
200905130900,00000000,00000000,00000000
200905131000,00000000,00000000,00000000
200905131100,00000000,00000000,00000000
200905131200,00000000,00000000,00000000
200905131300,00000000,00000000,00000000
200905131400,00000000,00000000,00000000
200905131500,00000000,00000000,00000000
200905131600,00000000,00000000,00000000
200905131700,00000000,00000000,00000000
200905131800,00000000,00000000,00000000
200905131900,00000000,00000000,00000000
200905132000,00000000,00000000,00000000
200905132100,00000000,00000000,00000000
200905132200,00000000,00000000,00000000
200905132300,00000000,00000000,00000000
200905140000,00000000,00000000,00000000
200905140100,00000000,00000000,00000000
200905140200,00000000,00000000,00000000
200905140300,00000000,00000000,00000000
200905140400,00000000,00000000,00000000
200905140500,00000000,00000000,00000000
200905140600,00000000,00000000,00000000
200905140700,00000000,00000000,00000000
200905140800,00000000,00000000,00000000
200905140900,00000000,00000000,00000000
200905141000,00000000,00000000,00000000
200905141100,00000000,00000000,00000000
200905141200,00000000,00000000,00000000
200905141300,00000000,00000000,00000000
200905141400,00000000,00000000,00000000
200905141500,00000000,00000000,00000000
200905141600,00000000,00000000,00000000
200905141700,00000000,00000000,00000000
200905141800,00000000,00000000,00000000
200905141900,00000000,00000000,00000000
200905142000,00000000,00000000,00000000
200905142100,00000000,00000000,00000000
200905142200,00000000,00000000,00000000
200905142300,00000000,00000000,00000000
200905150000,00000000,00000000,00000000
200905150100,00000000,00000000,00000000
200905150200,00000000,00000000,00000000
200905150300,00000000,00000000,00000000
200905150400,00000000,00000000,00000000
200905150500,00000000,00000000,00000000
200905150600,00000000,00000000,00000000
200905150700,00000000,00000000,00000000
200905150800,00000000,00000000,00000000
200905150900,00000000,00000000,00000000
200905151000,00000000,00000000,00000000
200905151100,00000000,00000000,00000000
200905151200,00000000,00000000,00000000
200905151300,00000000,00000000,00000000
200905151400,00000000,00000000,00000000
200905151500,00000000,00000000,00000000
200905151600,00000000,00000000,00000000
200905151700,00000000,00000000,00000000
200905151800,00000000,00000000,00000000
200905151900,00000000,00000000,00000000
200905152000,00000000,00000000,00000000
200905152100,00000000,00000000,00000000
200905152200,00000000,00000000,00000000
200905152300,00000000,00000000,00000000
200905160000,00000000,00000000,00000000
200905160100,00000000,00000000,00000000
200905160200,00000000,00000000,00000000
200905160300,00000000,00000000,00000000
200905160400,00000000,00000000,00000000
200905160500,00000000,00000000,00000000
200905160600,00000000,00000000,00000000
200905160700,00000000,00000000,00000000
200905160800,00000000,00000000,00000000
200905160900,00000000,00000000,00000000
200905161000,00000000,00000000,00000000
200905161100,00000000,00000000,00000000
200905161200,00000000,00000000,00000000
200905161300,00000000,00000000,00000000
200905161400,00000000,00000000,00000000
200905161500,00000000,00000000,00000000
200905161600,00000000,00000000,00000000
200905161700,00000000,00000000,00000000
200905161800,00000000,00000000,00000000
200905161900,00000000,00000000,00000000
200905162000,00000000,00000000,00000000
200905162100,00000000,00000000,00000000
200905162200,00000000,00000000,00000000
200905162300,00000000,00000000,00000000
200905170000,00000000,00000000,00000000
200905170100,00000000,00000000,00000000
200905170200,00000000,00000000,00000000
200905170300,00000000,00000000,00000000
200905170400,00000000,00000000,00000000
200905170500,00000000,00000000,00000000
200905170600,00000000,00000000,00000000
200905170700,00000000,00000000,00000000
200905170800,00000000,00000000,00000000
200905170900,00000000,00000000,00000000
200905171000,00000000,00000000,00000000
200905171100,00000000,00000000,00000000
200905171200,00000000,00000000,00000000
200905171300,00000000,00000000,00000000
200905171400,00000000,00000000,00000000
200905171500,00000000,00000000,00000000
200905171600,00000000,00000000,00000000
200905171700,00000000,00000000,00000000
200905171800,00000000,00000000,00000000
200905171900,00000000,00000000,00000000
200905172000,00000000,00000000,00000000
200905172100,00000000,00000000,00000000
200905172200,00000000,00000000,00000000
200905172300,00000000,00000000,00000000
200905180000,00000000,00000000,00000000
200905180100,00000000,00000000,00000000
200905180200,00000000,00000000,00000000
200905180300,00000000,00000000,00000000
200905180400,00000000,00000000,00000000
200905180500,00000000,00000000,00000000
200905180600,00000000,00000000,00000000
200905180700,00000000,00000000,00000000
200905180800,00000000,00000000,00000000
200905180900,00000000,00000000,00000000
200905181000,00000000,00000000,00000000
200905181100,00000000,00000000,00000000
200905181200,00000000,00000000,00000000
200905181300,00000000,00000000,00000000
200905181400,00000000,00000000,00000000
200905181500,00000000,00000000,00000000
200905181600,00000000,00000000,00000000
200905181700,00000000,00000000,00000000
200905181800,00000000,00000000,00000000
200905181900,00000000,00000000,00000000
200905182000,00000000,00000000,00000000
200905182100,00000000,00000000,00000000
200905182200,00000000,00000000,00000000
200905182300,00000000,00000000,00000000
200905190000,00000000,00000000,00000000
200905190100,00000000,00000000,00000000
200905190200,00000000,00000000,00000000
200905190300,00000000,00000000,00000000
200905190400,00000000,00000000,00000000
200905190500,00000000,00000000,00000000
200905190600,00000000,00000000,00000000
200905190700,00000000,00000000,00000000
200905190800,00000000,00000000,00000000
200905190900,00000000,00000000,00000000
200905191000,00000000,00000000,00000000
200905191100,00000000,00000000,00000000
200905191200,00000000,00000000,00000000
200905191300,00000000,00000000,00000000
200905191400,00000000,00000000,00000000
200905191500,00000000,00000000,00000000
200905191600,00000000,00000000,00000000
200905191700,00000000,00000000,00000000
200905191800,00000000,00000000,00000000
200905191900,00000000,00000000,00000000
200905192000,00000000,00000000,00000000
200905192100,00000000,00000000,00000000
200905192200,00000000,00000000,00000000
200905192300,00000000,00000000,00000000
200905200000,00000000,00000000,00000000
200905200100,00000000,00000000,00000000
200905200200,00000000,00000000,00000000
200905200300,00000000,00000000,00000000
200905200400,00000000,00000000,00000000
200905200500,00000000,00000000,00000000
200905200600,00000000,00000000,00000000
200905200700,00000000,00000000,00000000
200905200800,00000000,00000000,00000000
200905200900,00000000,00000000,00000000
200905201000,00000000,00000000,00000000
200905201100,00000000,00000000,00000000
200905201200,00000000,00000000,00000000
200905201300,00000000,00000000,00000000
200905201400,00000000,00000000,00000000
200905201500,00000000,00000000,00000000
200905201600,00000000,00000000,00000000
200905201700,00000000,00000000,00000000
200905201800,00000000,00000000,00000000
200905201900,00000000,00000000,00000000
200905202000,00000000,00000000,00000000
200905202100,00000000,00000000,00000000
200905202200,00000000,00000000,00000000
200905202300,00000000,00000000,00000000
200905210000,00000000,00000000,00000000
200905210100,00000000,00000000,00000000
200905210200,00000000,00000000,00000000
200905210300,00000000,00000000,00000000
200905210400,00000000,00000000,00000000
200905210500,00000000,00000000,00000000
200905210600,00000000,00000000,00000000
200905210700,00000000,00000000,00000000
200905210800,00000000,00000000,00000000
200905210900,00000000,00000000,00000000
200905211000,00000000,00000000,00000000
200905211100,00000000,00000000,00000000
200905211200,00000000,00000000,00000000
200905211300,00000000,00000000,00000000
200905211400,00000000,00000000,00000000
200905211500,00000000,00000000,00000000
200905211600,00000000,00000000,00000000
200905211700,00000000,00000000,00000000
200905211800,00000000,00000000,00000000
200905211900,00000000,00000000,00000000
200905212000,00000000,00000000,00000000
200905212100,00000000,00000000,00000000
200905212200,00000000,00000000,00000000
200905212300,00000000,00000000,00000000
200905220000,00000000,00000000,00000000
200905220100,00000000,00000000,00000000
200905220200,00000000,00000000,00000000
200905220300,00000000,00000000,00000000
200905220400,00000000,00000000,00000000
200905220500,00000000,00000000,00000000
200905220600,00000000,00000000,00000000
200905220700,00000000,00000000,00000000
200905220800,00000000,00000000,00000000
200905220900,00000000,00000000,00000000
200905221000,00000000,00000000,00000000
200905221100,00000000,00000000,00000000
200905221200,00000000,00000000,00000000
200905221300,00000000,00000000,00000000
200905221400,00000000,00000000,00000000
200905221500,00000000,00000000,00000000
200905221600,00000000,00000000,00000000
200905221700,00000000,00000000,00000000
200905221800,00000000,00000000,00000000
200905221900,00000000,00000000,00000000
200905222000,00000000,00000000,00000000
200905222100,00000000,00000000,00000000
200905222200,00000000,00000000,00000000
200905222300,00000000,00000000,00000000
200905230000,00000000,00000000,00000000
200905230100,00000000,00000000,00000000
200905230200,00000000,00000000,00000000
200905230300,00000000,00000000,00000000
200905230400,00000000,00000000,00000000
200905230500,00000000,00000000,00000000
200905230600,00000000,00000000,00000000
200905230700,00000000,00000000,00000000
200905230800,00000000,00000000,00000000
200905230900,00000000,00000000,00000000
200905231000,00000000,00000000,00000000
200905231100,00000000,00000000,00000000
200905231200,00000000,00000000,00000000
200905231300,00000000,00000000,00000000
200905231400,00000000,00000000,00000000
200905231500,00000000,00000000,00000000
200905231600,00000000,00000000,00000000
200905231700,00000000,00000000,00000000
200905231800,00000000,00000000,00000000
200905231900,00000000,00000000,00000000
200905232000,00000000,00000000,00000000
200905232100,00000000,00000000,00000000
200905232200,00000000,00000000,00000000
200905232300,00000000,00000000,00000000
200905240000,00000000,00000000,00000000
200905240100,00000000,00000000,00000000
200905240200,00000000,00000000,00000000
200905240300,00000000,00000000,00000000
200905240400,00000000,00000000,00000000
200905240500,00000000,00000000,00000000
200905240600,00000000,00000000,00000000
200905240700,00000000,00000000,00000000
200905240800,00000000,00000000,00000000
200905240900,00000000,00000000,00000000
200905241000,00000000,00000000,00000000
200905241100,00000000,00000000,00000000
200905241200,00000000,00000000,00000000
200905241300,00000000,00000000,00000000
200905241400,00000000,00000000,00000000
200905241500,00000000,00000000,00000000
200905241600,00000000,00000000,00000000
200905241700,00000000,00000000,00000000
200905241800,00000000,00000000,00000000
200905241900,00000000,00000000,00000000
200905242000,00000000,00000000,00000000
200905242100,00000000,00000000,00000000
200905242200,00000000,00000000,00000000
200905242300,00000000,00000000,00000000
200905250000,00000000,00000000,00000000
200905250100,00000000,00000000,00000000
200905250200,00000000,00000000,00000000
200905250300,00000000,00000000,00000000
200905250400,00000000,00000000,00000000
200905250500,00000000,00000000,00000000
200905250600,00000000,00000000,00000000
200905250700,00000000,00000000,00000000
200905250800,00000000,00000000,00000000
200905250900,00000000,00000000,00000000
200905251000,00000000,00000000,00000000
200905251100,00000000,00000000,00000000
200905251200,00000000,00000000,00000000
200905251300,00000000,00000000,00000000
200905251400,00000000,00000000,00000000
200905251500,00000000,00000000,00000000
200905251600,00000000,00000000,00000000
200905251700,00000000,00000000,00000000
200905251800,00000000,00000000,00000000
200905251900,00000000,00000000,00000000
200905252000,00000000,00000000,00000000
200905252100,00000000,00000000,00000000
200905252200,00000000,00000000,00000000
200905252300,00000000,00000000,00000000
200905260000,00000000,00000000,00000000
200905260100,00000000,00000000,00000000
200905260200,00000000,00000000,00000000
200905260300,00000000,00000000,00000000
200905260400,00000000,00000000,00000000
200905260500,00000000,00000000,00000000
200905260600,00000000,00000000,00000000
200905260700,00000000,00000000,00000000
200905260800,00000000,00000000,00000000
200905260900,00000000,00000000,00000000
200905261000,00000000,00000000,00000000
200905261100,00000000,00000000,00000000
200905261200,00000000,00000000,00000000
200905261300,00000000,00000000,00000000
200905261400,00000000,00000000,00000000
200905261500,00000000,00000000,00000000
200905261600,00000000,00000000,00000000
200905261700,00000000,00000000,00000000
200905261800,00000000,00000000,00000000
200905261900,00000000,00000000,00000000
200905262000,00000000,00000000,00000000
200905262100,00000000,00000000,00000000
200905262200,00000000,00000000,00000000
200905262300,00000000,00000000,00000000
200905270000,00000000,00000000,00000000
200905270100,00000000,00000000,00000000
200905270200,00000000,00000000,00000000
200905270300,00000000,00000000,00000000
200905270400,00000000,00000000,00000000
200905270500,00000000,00000000,00000000
200905270600,00000000,00000000,00000000
200905270700,00000000,00000000,00000000
200905270800,00000000,00000000,00000000
200905270900,00000000,00000000,00000000
200905271000,00000000,00000000,00000000
200905271100,00000000,00000000,00000000
200905271200,00000000,00000000,00000000
200905271300,00000000,00000000,00000000
200905271400,00000000,00000000,00000000
200905271500,00000000,00000000,00000000
200905271600,00000000,00000000,00000000
200905271700,00000000,00000000,00000000
200905271800,00000000,00000000,00000000
200905271900,00000000,00000000,00000000
200905272000,00000000,00000000,00000000
200905272100,00000000,00000000,00000000
200905272200,00000000,00000000,00000000
200905272300,00000000,00000000,00000000
200905280000,00000000,00000000,00000000
200905280100,00000000,00000000,00000000
200905280200,00000000,00000000,00000000
200905280300,00000000,00000000,00000000
200905280400,00000000,00000000,00000000
200905280500,00000000,00000000,00000000
200905280600,00000000,00000000,00000000
200905280700,00000000,00000000,00000000
200905280800,00000000,00000000,00000000
200905280900,00000000,00000000,00000000
200905281000,00000000,00000000,00000000
200905281100,00000000,00000000,00000000
200905281200,00000000,00000000,00000000
200905281300,00000000,00000000,00000000
200905281400,00000000,00000000,00000000
200905281500,00000000,00000000,00000000
200905281600,00000000,00000000,00000000
200905281700,00000000,00000000,00000000
200905281800,00000000,00000000,00000000
200905281900,00000000,00000000,00000000
200905282000,00000000,00000000,00000000
200905282100,00000000,00000000,00000000
200905282200,00000000,00000000,00000000
200905282300,00000000,00000000,00000000
200905290000,00000000,00000000,00000000
200905290100,00000000,00000000,00000000
200905290200,00000000,00000000,00000000
200905290300,00000000,00000000,00000000
200905290400,00000000,00000000,00000000
200905290500,00000000,00000000,00000000
200905290600,00000000,00000000,00000000
200905290700,00000000,00000000,00000000
200905290800,00000000,00000000,00000000
200905290900,00000000,00000000,00000000
200905291000,00000000,00000000,00000000
200905291100,00000000,00000000,00000000
200905291200,00000000,00000000,00000000
200905291300,00000000,00000000,00000000
200905291400,00000000,00000000,00000000
200905291500,00000000,00000000,00000000
200905291600,00000000,00000000,00000000
200905291700,00000000,00000000,00000000
200905291800,00000000,00000000,00000000
200905291900,00000000,00000000,00000000
200905292000,00000000,00000000,00000000
200905292100,00000000,00000000,00000000
200905292200,00000000,00000000,00000000
200905292300,00000000,00000000,00000000
200905300000,00000000,00000000,00000000
200905300100,00000000,00000000,00000000
200905300200,00000000,00000000,00000000
200905300300,00000000,00000000,00000000
200905300400,00000000,00000000,00000000
200905300500,00000000,00000000,00000000
200905300600,00000000,00000000,00000000
200905300700,00000000,00000000,00000000
200905300800,00000000,00000000,00000000
200905300900,00000000,00000000,00000000
200905301000,00000000,00000000,00000000
200905301100,00000000,00000000,00000000
200905301200,00000000,00000000,00000000
200905301300,00000000,00000000,00000000
200905301400,00000000,00000000,00000000
200905301500,00000000,00000000,00000000
200905301600,00000000,00000000,00000000
200905301700,00000000,00000000,00000000
200905301800,00000000,00000000,00000000
200905301900,00000000,00000000,00000000
200905302000,00000000,00000000,00000000
200905302100,00000000,00000000,00000000
200905302200,00000000,00000000,00000000
200905302300,00000000,00000000,00000000
200905310000,00000000,00000000,00000000
200905310100,00000000,00000000,00000000
200905310200,00000000,00000000,00000000
200905310300,00000000,00000000,00000000
200905310400,00000000,00000000,00000000
200905310500,00000000,00000000,00000000
200905310600,00000000,00000000,00000000
200905310700,00000000,00000000,00000000
200905310800,00000000,00000000,00000000
200905310900,00000000,00000000,00000000
200905311000,00000000,00000000,00000000
200905311100,00000000,00000000,00000000
200905311200,00000000,00000000,00000000
200905311300,00000000,00000000,00000000
200905311400,00000000,00000000,00000000
200905311500,00000000,00000000,00000000
200905311600,00000000,00000000,00000000
200905311700,00000000,00000000,00000000
200905311800,00000000,00000000,00000000
200905311900,00000000,00000000,00000000
200905312000,00000000,00000000,00000000
200905312100,00000000,00000000,00000000
200905312200,00000000,00000000,00000000
200905312300,00000000,00000000,00000000
